order_id,customer_id,sku,order_date,channel,qty,order_value_inr,lot_code
VR884583,C107408,VA-AC-CH65,2024-06-15,Flipkart,1,1499,CH65-2404-4
VR894029,C104406,VA-EB-PL1,2024-06-15,vireo.in,1,1999,PL1-2404-3
VR899556,C107541,VA-SP-ORB,2024-06-15,Amazon,1,5399,ORB-2402-4
VR901895,C101860,VA-SW-NX1,2024-06-15,vireo.in,1,3999,NX1-2405-4
VR904031,C106391,VA-AC-CBL,2024-06-15,vireo.in,1,399,CBL-2405-4
VR881296,C100688,VA-SW-NX1,2024-06-16,vireo.in,1,4749,NX1-2403-1
VR896138,C101211,VA-NB-ARC,2024-06-16,vireo.in,1,1039,ARC-2404-4
VR900833,C100130,VA-SW-NX1,2024-06-16,vireo.in,1,4999,NX1-2405-1
VR889573,C104417,VA-EB-PL1,2024-06-17,vireo.in,1,2499,PL1-2405-1
VR899025,C109065,VA-EB-PL1,2024-06-17,vireo.in,1,2374,PL1-2404-2
VR901827,C101646,VA-EB-PL1,2024-06-17,Flipkart,1,2499,PL1-2405-2
VR903349,C107090,VA-SW-NX1,2024-06-17,Amazon,1,4249,NX1-2404-1
VR904837,C101081,VA-EB-PL1,2024-06-17,vireo.in,1,2124,PL1-2405-2
VR908424,C106574,VA-HP-ST2,2024-06-17,vireo.in,1,4999,ST2-2403-3
VR909758,C100262,VA-EB-PL1,2024-06-17,Amazon,1,2499,PL1-2404-3
VR910344,C105211,VA-HP-ST2,2024-06-17,vireo.in,1,4499,ST2-2405-1
VR890727,C100383,VA-EB-PL1,2024-06-18,Flipkart,1,2124,PL1-2403-4
VR892771,C100317,VA-SP-ORB,2024-06-18,Amazon,1,5999,ORB-2404-2
VR898784,C101144,VA-NB-ARC,2024-06-18,vireo.in,1,1299,ARC-2405-2
VR900860,C102286,VA-SW-NX1,2024-06-18,vireo.in,1,4499,NX1-2403-3
VR882306,C107928,VA-NB-ARC,2024-06-19,Amazon,1,1039,ARC-2405-4
VR889742,C102306,VA-NB-ARC,2024-06-19,Flipkart,1,1299,ARC-2404-2
VR900868,C102603,VA-EB-PL1,2024-06-19,vireo.in,1,2124,PL1-2403-1
VR905726,C108078,VA-EB-PL1,2024-06-19,Flipkart,1,2249,PL1-2405-2
VR896902,C106182,VA-EB-PL1,2024-06-20,Amazon,2,4748,PL1-2403-3
VR897255,C105723,VA-AC-CH65,2024-06-20,Flipkart,1,1274,CH65-2403-1
VR897347,C107743,VA-NB-ARC,2024-06-20,vireo.in,1,1299,ARC-2403-2
VR902489,C105901,VA-EB-PL1,2024-06-20,vireo.in,1,2499,PL1-2405-3
VR882141,C101469,VA-EB-PL1,2024-06-21,vireo.in,1,1999,PL1-2405-1
VR891672,C108128,VA-SW-NX1,2024-06-21,vireo.in,1,4999,NX1-2403-2
VR895115,C108353,VA-EB-PL1,2024-06-21,Amazon,2,4248,PL1-2404-4
VR900430,C104136,VA-SW-NX1,2024-06-21,Amazon,1,4499,NX1-2404-1
